""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-15_None_Tumor"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-5_None_Tumor"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"SLPI"	0	0	1.99130826597491	0	1.78306268190063	1.26668548169973	0	0	0	0	0	0.850587525780985	0	0	0	0	0	1.92544950968523	0	0	0	0	0	0	0	0.788915822269023	1.03919093954316	0.671568134320715	0	0	1.29605977424869	1.51316409567626	0.563478671338737	0	0	1.61943235365141	0	0	2.25814306368322	0	0	4.30037278131704	0	0	0	3.7038656085508	0	0	0	0
"SMAD2"	3.20818598013571	0	1.99130826597491	1.97136480093404	3.24805504478988	1.26668548169973	0	0	0	2.51789875472167	0	2.20233716928548	0	3.36768211680924	0	0	4.43477720005941	0	0	0	3.38405218891788	0	0	0	0	2.36161510569262	2.42944655334023	2.3583075837141	0	3.10252109919077	2.37346409023171	2.71894437346008	2.05552762915366	2.73811575681904	1.92544950968523	2.46814987195636	0	0	2.89760227597338	0	0	3.62069794169786	3.64398532183123	3.12408724813577	0	3.03504818400374	0	0	0	2.75956043448145
"SMAD3"	2.18733050369102	3.04642919776342	0	1.97136480093404	2.38840410510257	0	0	0	0	0	0	0	0	0	0	0	0	2.54289734536132	0	0	0	2.96785655597551	0	0	0	0.336712409546873	1.23428042611835	1.35374862108525	0	0	0.633904346997085	0	0.921694600176867	0	0	1.30837295618739	0	2.98196756108314	0	0	0	0	0	0	0	0	0	2.44319202542805	3.24853074860739	2.75956043448145
"SMAD4"	2.18733050369102	0	0	1.97136480093404	0	2.93616734369807	0	0	0	2.51789875472167	0	0	0	3.36768211680924	0	0	0	1.92544950968523	0	0	0	0	0	0	2.10786596166046	1.22436869527222	1.53769652400313	1.35374862108525	1.86309641273877	0	1.29605977424869	2.45300563550889	0.921694600176867	2.36448459280736	2.54289734536132	2.20832337106105	0	4.04620025685669	2.25814306368322	0	0	0	0	0	0	0	3.43205371587043	0	0	0
"SMARCB1"	0	0	0	1.40860239086312	0	1.80798367205103	0	0	0	0	0	1.30346795599205	0	0	0	0	0	1.92544950968523	0	0	0	2.96785655597551	0	0	0	1.33562034266272	1.03919093954316	1.35374862108525	1.86309641273877	3.10252109919077	1.84209360170196	2.0896582942802	2.14800295942594	0	1.92544950968523	1.85634439809126	0	2.98196756108314	0	0	0	0	0	0	0	3.03504818400374	0	0	0	2.75956043448145
"SMO"	2.18733050369102	0	1.99130826597491	1.40860239086312	1.78306268190063	0	2.75403531434403	0	0	2.51789875472167	0	1.30346795599205	0	0	0	3.4584982354995	0	0	0	0	0	0	0	0	0	1.33562034266272	1.03919093954316	1.06973549262296	1.86309641273877	0	0	0	1.39304464601468	0	1.92544950968523	1.30837295618739	0	0	0	0	0	0	2.97665005709066	0	0	0	0	1.83335888087173	0	2.75956043448145
"SNAI1"	0	3.71552528769737	1.99130826597491	1.40860239086312	1.78306268190063	1.80798367205103	0	0	0	2.51789875472167	0	1.30346795599205	0	0	0	3.4584982354995	0	0	0	0	0	0	0	3.28988561019803	0	1.33562034266272	0.796584527853779	1.57468432721998	1.86309641273877	0	1.01881537182781	0	1.56524892200075	1.76117604585597	1.92544950968523	1.30837295618739	0	0	0	0	0	0	0	0	0	0	4.10890864785841	0	0	0
"SNAI2"	2.18733050369102	0	0	0	0	1.26668548169973	0	0	3.37583128432807	0	3.85643199002821	1.85067084932289	0	0	0	0	0	2.54289734536132	0	0	0	0	0	0	0	0.788915822269023	0.796584527853779	1.06973549262296	0	0	1.01881537182781	1.51316409567626	1.18488764321578	0	0	2.04774074807844	0	0	1.66442885886046	0	0	0	0	0	2.73093319654561	0	0	1.83335888087173	0	2.75956043448145
"SOD1"	0	0	0	2.32929562660649	2.38840410510257	2.6207004358111	2.75403531434403	4.31847528044767	3.37583128432807	3.16989636114078	0	1.61404041982282	0	0	3.43786618529924	0	0	2.54289734536132	0	0	3.38405218891788	0	0	0	2.73834116112488	3.10089480332222	2.31595971883769	2.04136702186501	3.66626585742353	2.45332933989141	2.77535039204251	2.71894437346008	3.19703776893278	2.73811575681904	0	2.67419985782844	3.32797129238541	0	2.89760227597338	0	0	0	0	3.12408724813577	2.73093319654561	3.7038656085508	0	1.83335888087173	0	0
"SOD2"	3.20818598013571	3.71552528769737	1.99130826597491	3.36079591400818	3.70338287361636	3.84766052453424	4.31119383626492	0	4.73614888824085	3.16989636114078	0	3.16957513748456	4.84876147788786	3.36768211680924	5.20248295297165	4.82090172066367	0	3.86840223369796	0	5.04243206817825	4.74458523307259	4.03159206307348	0	3.96422802876736	3.79287787116991	3.94046218291282	3.40886335351901	4.11594567863498	3.51636808457964	3.77294414532084	3.49220763546474	2.71894437346008	4.46903123221467	3.98920713635884	4.61105209204286	4.12314808633199	3.32797129238541	4.73056463067624	2.6281383437777	5.38628842782089	4.32581158608494	0	3.64398532183123	3.79500055002248	2.73093319654561	0	0	4.5600419896524	3.92207136108167	4.09720044086806
