""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-22_None_Stroma"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"ACVR1B"	0.444046347042295	0	0	0.925631492455476	1.30291469421312	0.691153161953081	1.73109612299393	2.08055796748234	0	0	1.72861497765258	0	1.18847218350703	1.81945454024758	1.40503300768055	1.65676441516766	0	1.4021771596938	0.867611058837922	1.73007715128453	0.571986718246761	0	1.72141255695404	0	0	0	0	0.738206580390043	0	1.21681771081441	1.47855484003744	0	1.89339710726777	1.45450134870427	0	0.695757361742718	1.4249289318177	0.618156990954837	2.25622786427144	0	1.3455690134472	1.44911566849199	1.15303313891683	1.38054700437752	1.05744053153913	0.724618217710805	1.61533052356536	0	0	2.15050243102918	1.76269430076211	1.36579972561463	1.1025611593373	1.63155982952137	0	0.673587722772853	2.15667321234967	1.91831135900454	0	1.16663423259724	0	1.25690784319392
"ACVR2A"	1.59188865584406	2.07581874467502	0	1.57041705743094	1.77721190392516	0.691153161953081	1.58357981299711	1.50506983680052	0	0	0	1.73275512595962	2.31532874066051	1.97438534651403	1.40503300768055	0.992113554858906	0	0	0.867611058837922	0	1.72823404385296	0	1.19277370326856	0	0	0	0	1.15825132142965	0	0.702338918700651	1.13675103786321	1.83225603688513	1.27102297859114	1.28809647358862	0	1.10209101842728	1.98994408473183	0.997321388883502	2.89558133633711	0	1.06249475289832	1.44911566849199	0	1.38054700437752	0.879313273009568	0	0.851510408502765	0	0	0	1.07542812965238	0.547956049249445	0.696110294497546	1.261401087281	0	0.673587722772853	0	1.58370292872339	0	0.744592481083309	1.68236931078481	1.74305180990583
"ACVRL1"	1.4710987374218	0	2.54343727095434	0.925631492455476	1.02484784816047	1.60624557133513	0.935680221383008	1.50506983680052	2.25546304997313	0	1.19888692580485	0	0	1.12082936712781	1.11528611944719	1.48020745604985	0	0.703763692536909	1.87561978493154	0.9349278578729	0.571986718246761	2.0952636775549	1.49162617372515	1.67881431977764	0	0	0	0	0	1.40005047824145	1.37707109153653	0	0.41402795567892	0.838519016270828	1.92645099020739	1.61361093831174	1.4249289318177	1.27158907641187	0	0	0.666182057835785	1.36950713014174	1.67439635406387	1.7853714734888	1.05744053153913	1.14035735952255	1.85202847928975	2.51580470673591	0	1.26121975459552	1.58155171601472	1.36579972561463	1.39073574600056	1.34720521825823	0	1.57795647102662	0	0.677140592473522	1.84179578144619	1.16663423259724	0.739348724854567	1.05983780628639
"ADGRA2"	1.4710987374218	0	0	1.57041705743094	1.02484784816047	1.60624557133513	1.20099439557168	1.50506983680052	2.25546304997313	1.44615474904357	0.769279971894947	0.936905584575584	0	1.63603978298393	1.11528611944719	0.614355175244532	0	1.4021771596938	1.63776224601124	0	1.19856343271331	0	1.49162617372515	0	0	0	1.36071263763164	0	0	0.992305784835034	1.06642082161897	1.28757375420407	1.52394449758562	1.45450134870427	0	0.695757361742718	1.4249289318177	1.27158907641187	0	0	0	1.18831353218508	0	1.7853714734888	1.45587581045699	1.43313713463297	1.30464133586588	0	0	0	2.04890070081061	2.11591081941489	1.39073574600056	1.34720521825823	1.60688281682492	1.07244706166498	0	1.36218736323599	0	1.46250270826738	1.1597518700716	1.16321956431772
"ADGRA3"	1.69964818486402	1.5008577815123	2.54343727095434	1.71746397656373	1.17351543876884	1.09595271263235	0.573503679250642	1.50506983680052	2.25546304997313	0	2.07308014163831	0.936905584575584	1.71633991396968	1.63603978298393	1.11528611944719	1.80677708455378	0	2.09794711976858	0.867611058837922	2.47057172061701	0.933567498834603	0	1.72141255695404	2.27402056526025	0	0	1.67680797684429	0	0	0.992305784835034	0.990767533693218	0	1.52394449758562	0.838519016270828	0	1.10209101842728	0	1.81368909019501	0	0	0	1.18831353218508	0	0.689319281973176	1.55982441054256	0	0	0	0	1.80161879265821	0.675809646837295	1.36579972561463	0	1.63155982952137	0	0	2.15667321234967	0.677140592473522	0	1.46250270826738	0	0.814155491199031
"ADGRB2"	0.444046347042295	1.5008577815123	0	0.566296650926255	1.02484784816047	1.94248939315407	1.41047304471184	1.01241298130632	0	0	0	1.41199720283818	1.18847218350703	0.709856092689775	0	1.48020745604985	0	1.11274273810137	0	0	0	0	1.19277370326856	0	0	0	0	1.15825132142965	0	0.857795834066516	1.06642082161897	0	1.27102297859114	1.28809647358862	0	0	0	0.618156990954837	0	0	0.666182057835785	1.08370428287657	2.26914689179897	0.689319281973176	0	0.724618217710805	0.851510408502765	0	0	0	0	0	0.696110294497546	0.490168380377341	0	1.07244706166498	0	0	0	1.69052612516902	0	0.273317250148734
"ADGRB3"	0.984699834141373	0	0	0.566296650926255	1.02484784816047	0.691153161953081	0.935680221383008	0	0	1.44615474904357	1.19888692580485	1.41199720283818	0	0	0.705678545198075	2.05254739413396	0	1.11274273810137	1.32506527488369	0	0.571986718246761	0	1.72141255695404	0	0	0	0.895877975016715	1.45314426530886	0	1.31262501752792	0.990767533693218	0	1.11566528353206	1.08836278179424	0	1.10209101842728	0	1.27158907641187	0	0	1.89922910168329	1.08370428287657	0	0.689319281973176	0	0	0.851510408502765	0	0	0	1.07542812965238	1.36579972561463	0.696110294497546	1.06394260735025	0	0	1.5730164873976	0.677140592473522	0	0	0.739348724854567	1.16321956431772
"ADGRD1"	1.4710987374218	2.07581874467502	0	1.18942508436158	1.61343206916522	1.94248939315407	0.573503679250642	0	0	0	1.72861497765258	1.41199720283818	0	2.33246298621033	2.1012694398591	0.614355175244532	2.44175376666954	0.703763692536909	1.63776224601124	0	1.40784408085192	2.0952636775549	0.764586349421587	0	0	0	2.10990129272143	1.68058951233203	0	1.48044343057476	1.47855484003744	2.18289457143889	1.72563654404065	1.59712583733083	1.92645099020739	1.61361093831174	2.34877063814069	1.66345740438186	1.66269508910763	0	2.03176442003388	1.28300861944194	0	2.0727330724695	0.879313273009568	1.65932688043584	1.61533052356536	2.51580470673591	0	0	2.04890070081061	1.68236931078481	1.39073574600056	1.69159610123506	1.60688281682492	0.673587722772853	1.5730164873976	0	0	1.46250270826738	0	0.814155491199031
"ADGRE1"	1.69964818486402	0	0	1.18942508436158	0.850152456438043	0	1.20099439557168	2.08055796748234	0	1.44615474904357	1.19888692580485	1.41199720283818	0	1.12082936712781	0.705678545198075	0.614355175244532	0	1.11274273810137	1.87561978493154	0	0.933567498834603	0	0.764586349421587	0	0	0	0	1.45314426530886	0	0.857795834066516	1.32218612803506	1.28757375420407	0.705964112075367	1.93271281217211	0	0.695757361742718	1.4249289318177	0	1.66269508910763	0	1.3455690134472	0.966859537162726	0	1.09350516076705	1.20858447663503	0.724618217710805	0	0	0	0	0.675809646837295	0.547956049249445	0	1.85270157656188	0	1.07244706166498	0	1.58370292872339	0	0.744592481083309	0.739348724854567	1.49458551461133
"ADGRE2"	2.58761817951574	1.5008577815123	2.54343727095434	0	1.69867122502727	1.60624557133513	2.07571714258885	2.58517713489113	3.2816300907793	1.44615474904357	2.53227653687509	1.41199720283818	2.31532874066051	2.10850143483545	1.40503300768055	1.48020745604985	0	1.62637064843476	0.867611058837922	1.97242949798354	1.85668621861495	2.0952636775549	2.06542295817857	2.27402056526025	0	0	1.91661987969933	2.15701118679634	0	2.00825413234973	1.73281901242165	2.81803396739057	1.27102297859114	2.25487522214087	2.92290928641651	1.95038058291025	1.4249289318177	1.66345740438186	0	0	1.56593765173353	2.2485828754597	2.01535092946531	2.39092452160842	2.29507859804193	2.13388247307718	1.61533052356536	0	0	2.40864609687274	2.36614544178662	1.36579972561463	1.61417468944998	2.46419774149789	0	1.07244706166498	0	2.45536269380857	0	2.39336217346739	2.56804304477665	2.31403896959017
