""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-18_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-22_None_Stroma"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"ACVR1B"	1.47518131381087	0	2.16267189049868	1.84143044159399	1.739376996584	0	2.6328710564436	0.884372360546578	2.36702091216358	0	1.61358410488534	1.35470798352823	2.02720398638395	1.82405172742445	1.30955641882762	1.28992184117026	0	1.66590281664568	1.83203566949919	1.52079640737363	1.36564445790674	1.60495020336874	2.04145032609447	1.45201562357044	1.55588776323842	1.75604489797906	1.5893799333895	1.50313698098104	0.849475199737586	0	2.11938402866758	0	0	0.71923064608015	1.90277992121162	1.17980230855183	1.537635054069	1.04924288977604	1.43654912347323	1.21324536024869	1.38817229594409	1.26169134208264	0.777153838963264	2.02094082867445	1.65916243027602	1.66972674914173	2.06953433721097	0	1.03456944247465	1.1695861633907	1.47344279012097	0	1.44133325337992	0	0.682180486764534	1.9253142776	1.63155982952137	1.74177491350952	0	1.33916875004648	1.07657462539563	1.53808668882854	0	1.56984901286195
"ACVR2A"	1.82878771330483	2.07531086704546	1.53198008946293	1.47619449399585	1.69249674479913	0	1.03330052646108	2.09276742391351	1.36089228563084	0	1.54451734479615	0.891101950202196	0.840948632708545	1.77722903331516	1.85771264174224	1.78716643278424	0	1.69549685988487	2.8177872746468	1.72232803205674	0.981167920800102	1.45098691406245	1.70718833697697	0	1.21774240829316	1.58155171601472	1.62492027658248	1.56348438400466	0.512350258951393	0	0	0	2.01122853245675	1.65085101459105	1.90277992121162	1.17980230855183	1.41867272171091	1.64381013196337	1.43654912347323	1.39622596399098	0	1.04954532097003	1.08477942727337	1.20526702466886	1.22892718683619	0.82995473359628	0.868874852205591	1.10993927061279	1.03456944247465	1.75982649490969	1.17644423641396	0	1.57130640042747	2.18382640423796	0	1.38824357542899	1.63155982952137	1.40939468203377	0	1.22185880429845	0	1.53808668882854	0	1.37283434268751
"ACVRL1"	1.51301947311617	0	1.55545666862997	1.98378342598507	1.92676283645177	2.16790310503083	1.15448566315274	2.96933867708629	0	2.89558133633711	1.54451734479615	0.891101950202196	2.02720398638395	1.79308144634264	1.85771264174224	1.40395083198397	0	1.65077075284497	2.44175376666954	1.52079640737363	1.2531500080348	2.05652635313771	1.48597475294433	2.21694986369229	1.50688861230255	1.80804179427035	1.5142695665425	1.62039631660705	1.46926699933749	0	2.11938402866758	2.2506359240339	0	2.53221838470291	1.90277992121162	1.11768075899978	1.28362304405915	1.40915129801983	2.83502224206411	0.9016510019151	2.44463275065006	1.30837295618739	2.48233734081279	1.33636335755846	1.47809512421339	1.27715724101701	1.45571279176512	1.10993927061279	2.30950828795052	1.27836651338611	1.70213485033315	5.38628842782089	1.88293175693259	1.59738766355958	2.06017017302559	1.06459554946182	0	1.05882652013782	0	1.4441506325654	1.58293383230696	1.30661635265171	1.53207918657253	1.30859690982457
"ADGRA2"	1.35223437909618	2.07531086704546	1.32121635810638	1.84143044159399	1.28306045048757	1.27535703507898	0.895377927623948	2.25431718048717	1.36089228563084	2.25622786427144	1.30305295956053	2.10280065697647	1.29119512952856	1.15475810376144	1.30955641882762	1.65656082870914	0	1.53790443667182	0	1.40242105263118	1.2531500080348	1.51544345616788	1.24181038684373	2.52180142708972	1.68994143177872	1.32998760550989	1.92440394383435	1.62039631660705	0.512350258951393	0	0	3.03585640287891	1.44367748901215	1.42516878758686	0	0.943054487201556	0.942276746218885	1.04924288977604	0	0.754194255990569	2.44463275065006	1.55026188313104	2.03599582234959	1.65015180816692	1.87365268743468	0.82995473359628	1.23034112099644	1.39902823707615	0	1.04751182243718	1.28554176662857	0	1.54036228433482	1.59738766355958	1.08396314014787	1.16822447052478	1.63155982952137	0.908052451773989	2.48752319056332	1.37540118455322	0	1.35739538270596	1.03456944247465	1.40346911307355
"ADGRA3"	1.90688835399058	1.73071383450644	2.05604293849067	1.76185486209445	1.88805059762191	1.27535703507898	1.98455338051545	1.6609657208989	2.04974233716016	0	1.99690543096842	1.67024013086144	0	2.04235552025441	2.0491530953547	2.10001068471809	0	1.57147246341871	0	2.15901193987905	1.79221100079605	1.8335617485183	1.86730494384109	2.02067725486432	1.62515921582504	1.44562307169539	2.25241099290351	1.59234516668654	0.512350258951393	0	0	0	2.2072425502065	0.71923064608015	0	1.55256178033383	2.02962415292474	1.83373552982629	1.43654912347323	1.85697119139853	1.38817229594409	2.0692814210351	1.59281536786907	2.29082326684034	2.22134336229584	1.39066019417414	1.45571279176512	1.39902823707615	2.85215342426933	1.54779635934322	1.82989844182451	0	1.92658879902943	1.59738766355958	0.682180486764534	2.18776608622918	1.63155982952137	1.71792735438889	2.48752319056332	2.24576187716751	0	1.30661635265171	0	1.5174057601998
"ADGRB2"	0.611371397615784	1.20066963074402	0.792589762476308	0.89484995265829	0.991391358614981	0	1.44893741045433	1.6609657208989	0.676284360790233	0	1.20760166187474	0	0	1.06118300041801	0.855378712441142	0.460584776414718	0	0.951292786669342	1.83203566949919	1.31492478984208	1.46675387440133	1.18568285455676	1.24181038684373	0.969208748544844	1.25072127181734	0.804687864327467	1.19542574374748	0.874763508431269	1.1011520574441	0	0	1.34319296817675	0	1.13324121431038	0	1.05144300646922	0.419985067284407	0.481497401219733	0	1.21324536024869	0	1.26169134208264	0.330567282217195	1.05435389482548	0.77030697919378	1.00220658702278	1.17846065332028	0.701654422469156	0	0.90843583905404	0.558247798665998	0	0.631222475854954	0	0	0.745805323800975	0	0.908052451773989	0	0.685898263351632	0	1.19659970905676	1.03456944247465	0.800977266230264
"ADGRB3"	1.74406665436484	1.20066963074402	1.01476158156167	1.07476057389112	1.12691824798907	0	1.36008429881552	2.25431718048717	0	0	0.512900868854054	2.10280065697647	1.29119512952856	1.89752431767617	0	1.20597150758787	0	1.46718624117634	0	0.994286158376043	0.60638211879062	1.51544345616788	1.15949834997184	0	0.809342590290329	0.871501821987824	1.43305612702793	1.08438870005044	1.1011520574441	0	0	0	1.44367748901215	0.71923064608015	0	0.82147350767384	0.942276746218885	0.871969407251728	1.43654912347323	0.946337595580477	0	0.779927893263541	0.578586050764698	1.05435389482548	1.10881056832064	1.14910203012995	0.623337034237092	0	1.03456944247465	0.554011453115363	1.28554176662857	0	1.11616305945332	0	1.08396314014787	1.00845432178898	0	1.01105053710412	0	0.935594660167918	0	0.853064313727237	0	0.744289454361138
"ADGRD1"	1.43585493207812	0	1.35012210959115	1.47619449399585	1.20803380683556	0	1.32862111421828	0.884372360546578	1.07606474152173	0	1.20760166187474	0	0	1.18410017684755	0	1.32939400247422	0	1.35074445135858	0	1.40242105263118	0.811231259913937	1.38208772466942	1.45453699113757	0.969208748544844	1.55588776323842	1.32998760550989	1.19542574374748	1.17473744833675	1.61248486183065	3.16011740643441	0	0	0	1.65085101459105	0	1.2935440310651	1.45991942327473	1.28884925201819	0	1.30891507404974	1.38817229594409	1.55026188313104	1.5097980722934	1.45224834992472	1.07638335696344	1.00220658702278	1.27966224026932	0	1.53207918657253	1.04751182243718	0.752081661128975	0	1.06693785934212	0	1.08396314014787	1.00845432178898	0	0.793214627204064	0	0.935594660167918	2.36772195511316	0.853064313727237	1.53207918657253	0.800977266230264
"ADGRE1"	1.10628181067144	0	0.8411486474623	1.35942077984583	0.834573807073515	0	0.943496977462491	0.884372360546578	1.07606474152173	0	0.288979605229098	0	0.840948632708545	0.921011599144251	0	0.901177687973154	0	1.19517294640716	0	1.40242105263118	0.981167920800102	1.09487393108745	0.739155728980162	1.77623526027124	0.993132578596499	0.733088138181959	0.634736418403531	1.25759541200153	1.46926699933749	0	0	1.34319296817675	0.962457640160746	0	0	0.863664424264342	0.796541534796308	0.934617885574727	0	0.805800501223827	0	0.699405402257141	0.942749469883147	1.33636335755846	0.972270830868833	1.14910203012995	0.71205237207252	1.10993927061279	0	0.314890972130115	0.317583409044451	0	0.706339051857424	0	0	0.818212076158228	1.63155982952137	1.05882652013782	0	0.878769584537755	0	0.57076233487228	0	1.20377143847543
"ADGRE2"	1.71415251440098	2.07531086704546	1.05383271360309	1.47619449399585	1.38599769534757	1.27535703507898	1.39058767334918	1.34623463226762	1.58231920053466	0	0.984069933672217	1.35470798352823	1.60053766296384	1.31913694765388	1.85771264174224	1.40395083198397	2.98285686282472	1.44869667567787	0	1.35962956564181	1.12637738516882	1.04617739638352	1.06979838205201	2.02067725486432	1.55588776323842	1.58155171601472	1.34465938846831	1.13058308937572	1.73773748055091	3.16011740643441	0	0	1.44367748901215	1.99021672505133	0	1.32006705626009	1.00788350007522	1.10197742413354	2.00314235264793	1.3388737578967	1.7067965736649	1.55026188313104	0.777153838963264	2.50313294801961	1.22892718683619	1.39066019417414	0.868874852205591	1.62301497568811	1.03456944247465	1.27836651338611	1.28554176662857	0	0.902805085546815	0	1.08396314014787	1.21627160385637	0	1.37598586256811	3.13822436419072	1.26251051223394	0	0.931861339948578	1.53207918657253	1.54397113398536
