""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"FGF12"	0	0	0	0	0	3.15580439182443	0	0	0	2.32985368712411	2.78059366209879	0	0	0	0	1.79719676565528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55098020908326	0	1.73955974323463	0	1.34929213876356	0	0.666043950614367	1.60752067267123	0	0	0	0	0	0	0	0	0	0	2.0421170844929	1.6935081435172	0	1.08221847889243	0	0	0	0	2.54127961337563	1.51537695203021
"FGF13"	0	0	0	0	0	0	0	3.22041310418709	0	0	3.44224930436112	0	0	0	0	0	2.6108298331905	2.20616318433703	0	1.93755687852634	0	0	1.9140282541557	3.4049264704207	0	0	0	2.40245316583027	0	0	3.00355599440811	0	0	0	0	1.2565256720442	1.73955974323463	0	0	1.13985095163261	1.34535897477901	2.19509408385393	1.93586352124371	0	0	0	1.88314316394171	0	0	0	0	0	0	0	2.74513031640784	0	0	0	0	0	2.54127961337563	0
"FGF18"	0	0	3.48878178667972	0	0	0	2.14493407592794	0	0	0	0	0	0	0	0	1.79719676565528	0	1.61748624561693	0	0	0	0	2.90914119708542	0	0	0	0	0	0	2.89881703274323	0	0	0	1.00477839626975	0	0	0	0	0	1.65872409078554	1.06230891241267	1.60752067267123	1.09080698379488	0	0	0	1.88314316394171	0	0	0	0	2.51059203726549	0	0	2.11424399841647	0	0	2.23433661255518	0	0	0	0
"FGF2"	1.94883010990704	0	3.48878178667972	1.96712095815354	2.64691605367314	0	2.14493407592794	0	3.1622815318928	0	0	2.89074961544836	0	0	2.33447218499518	2.77870360668816	0	3.05409646968604	0	1.93755687852634	0	0	0	0	0	0	0	2.40245316583027	0	0	0	0	0	1.49573242484409	1.55098020908326	1.7961479158672	0	0	0	0	1.74617051740075	1.60752067267123	1.09080698379488	0	0	0	1.88314316394171	0	0	0	0	0	0	1.6935081435172	0	1.92478260262944	0	0	0	0	0	0
"FGF7"	1.94883010990704	3.33665082352223	0	0	1.45339535345086	3.15580439182443	0	0	0	0	0	0	0	1.66165694123613	0	0	0	2.57423016653601	0	0	1.67881431977764	0	1.9140282541557	3.4049264704207	0	0	0	0	0	0	0	2.08841810464014	0	1.49573242484409	1.55098020908326	2.14471215529002	0	0	0	2.45371794956806	2.25325763353716	0	1.09080698379488	3.50429727953181	2.17964170677835	0	0	0	0	0	0	0	2.0421170844929	0	2.11424399841647	0	0	0	0	0	0	0
"FGF9"	0	2.94880745714876	0	0	0	0	0	0	0	0	2.78059366209879	2.89074961544836	1.80777059747919	1.66165694123613	0	0	0	2.20616318433703	0	2.55595062817341	0	0	0	3.4049264704207	0	0	3.18531784304645	0	0	0	0	0	0	1.49573242484409	0	1.7961479158672	0	0	0	0	0.666043950614367	0	1.60006420913208	0	0	0	0	0	0	0	0	0	3.05025475493917	1.6935081435172	0	0.680877087968131	0	0	3.93182563272433	0	0	2.09214460593609
"FGFR1"	1.94883010990704	0	0	2.58777328339773	1.45339535345086	0	0	0	0	0	0	0	0	0	2.70711736521367	2.40382540604214	0	2.20616318433703	0	1.93755687852634	1.67881431977764	0	3.18309888609377	0	0	0	2.53270310735032	0	4.03886852858167	3.28574866909512	0	0	0	0	1.55098020908326	1.7961479158672	2.34081217434162	0	1.90350832836144	1.99862553558427	1.34535897477901	1.60752067267123	1.93586352124371	0	0	3.22620080581533	1.88314316394171	2.03283462619696	0	0	0	2.51059203726549	0	2.29021416953387	0	1.08221847889243	0	2.23433661255518	4.33073334028633	1.77609937832505	2.54127961337563	1.51537695203021
"FGFR2"	0	0	0	0	0	0	2.14493407592794	0	0	0	0	0	0	0	3.1908887471932	2.77870360668816	0	2.20616318433703	0	1.93755687852634	2.27402056526025	0	2.53057238575865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65872409078554	1.34535897477901	0	1.09080698379488	0	0	2.57199359828721	0	0	0	0	0	0	0	0	0	0.680877087968131	0	0	0	0	0	1.51537695203021
"FGFR3"	1.94883010990704	2.94880745714876	0	0	0	0	2.14493407592794	0	0	0	0	0	0	1.66165694123613	0	0	0	0	0	2.55595062817341	1.67881431977764	0	0	0	0	0	0	2.40245316583027	0	2.89881703274323	0	0	0	2.07004853471723	0	0	0	0	0	0	1.06230891241267	1.60752067267123	0	0	2.17964170677835	0	0	2.03283462619696	0	0	0	0	0	1.6935081435172	0	0.680877087968131	0	0	0	1.77609937832505	2.54127961337563	0
"FGG"	1.94883010990704	0	4.85190624829349	0	1.45339535345086	0	2.14493407592794	2.56642755433085	0	3.85824640364317	0	0	0	0	0	2.40382540604214	2.6108298331905	1.61748624561693	0	3.2095154566136	1.67881431977764	0	0	0	0	0	2.53270310735032	3.71846264987169	0	0	0	0	0	0	0	0	0	0	0	1.13985095163261	0	0	0	5.08938684600617	2.17964170677835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
